Timestamp,Cálculo 1,Cálculo 2,Cálculo 3,Cálculo 4,Física 1,Física 2,Física 3,Física 4,Progamação 1,Programação 2,Geometria analítica,Álgebra linear,Matéria adicional 1,Nota 1,Matéria adicional 2,Nota 2,Matéria adicional 3,Nota 3,Matéria adicional 4,Nota 4,Matéria adicional 5,Nota 5
11/16/2016 20:08:38,10,5,Não Fiz,Não Fiz,9,8,Não Fiz,Não Fiz,Não Fiz,Não Fiz,8,Não Fiz,Circutiso Elétricos 1,7,MecG,7,,,,,,
11/16/2016 20:09:02,7,5,6,,5,,7,3,,,6,,,,,,,,,,,
11/16/2016 20:14:29,8,7,7,Não Fiz,5,7,Não Fiz,Não Fiz,7,Não Fiz,5,Não Fiz,,,,,,,,,,
11/16/2016 20:17:20,8,Não Fiz,Não Fiz,Não Fiz,5,Não Fiz,Não Fiz,Não Fiz,7,9,7,7,Estatística,9,Engenharia de Software,8,Organização de Computadores,8,Programação Orientada a Objetos,5,Grafos,9
11/16/2016 20:18:51,6,6,6,Não Fiz,8,Não Fiz,8,Não Fiz,7,Não Fiz,6,Não Fiz,,,,,,,,,,
11/16/2016 20:19:28,10,6,6,Não Fiz,7,Não Fiz,5,Não Fiz,7,7,5,7,MC302 - Banco de dados,7,ME323 - Estatística,5,MC358 - Fundamentos matemáticos da computação,6,MC750 - Interfaces humano-computador,6,MC602 - Circuitos lógicos,8
11/16/2016 20:21:28,5,6,6,Não Fiz,8,Não Fiz,Não Fiz,Não Fiz,6,0,5,3,EA772,6,,,,,,,,
11/16/2016 20:22:37,9,7,,,10,7,,,,,10,7,,,,,,,,,,
11/16/2016 20:26:33,8,,Não Fiz,Não Fiz,7,,Não Fiz,Não Fiz,,,7,,,,,,,,,,,
11/16/2016 20:26:54,7,8,9,Não Fiz,7,Não Fiz,8,9,Não Fiz,Não Fiz,7,Não Fiz,,,,,,,,,,
11/16/2016 20:27:17,9,6,10,,7,8,,,6,,9,8,,,,,,,,,,
11/16/2016 20:29:57,8,5,5,Não Fiz,7,7,Não Fiz,Não Fiz,4,Não Fiz,Não Fiz,Não Fiz,,,,,,,,,,
11/16/2016 20:32:25,9,6,5,Não Fiz,8,7,Não Fiz,Não Fiz,8,Não Fiz,7,Não Fiz,,,,,,,,,,
11/16/2016 20:32:26,2,1,Não Fiz,Não Fiz,3,Não Fiz,Não Fiz,Não Fiz,1,Não Fiz,1,Não Fiz,F 128,7,FA173,8,FA373,7,ME414,8,BT330,9
